"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
East Harlem,Latino,2008,Number,7176,111
East Harlem,White,2008,Number,623,111
Washington Heights,Asian,2008,Number,0,112
Washington Heights,Black,2008,Number,1183,112
Washington Heights,Latino,2008,Number,13875,112
Washington Heights,White,2008,Number,245,112
Mott Haven,Asian,2008,Number,71.29157,201
Mott Haven,Black,2008,Number,4080.16926,201
Mott Haven,Latino,2008,Number,10759.29813,201
Mott Haven,White,2008,Number,150.85805,201
Hunts Point,Asian,2008,Number,40.70843,202
Hunts Point,Black,2008,Number,2329.83074,202
Hunts Point,Latino,2008,Number,6143.70187,202
Hunts Point,White,2008,Number,86.14195,202
Morrisania,Asian,2008,Number,113.50539,203
Morrisania,Black,2008,Number,3588.62952,203
Morrisania,Latino,2008,Number,9476.23246,203
Morrisania,White,2008,Number,27.39785,203
Concourse/Highbridge,Asian,2008,Number,615,204
Concourse/Highbridge,Black,2008,Number,5645,204
Concourse/Highbridge,Latino,2008,Number,15953,204
Concourse/Highbridge,White,2008,Number,438,204
University Heights,Asian,2008,Number,159,205
University Heights,Black,2008,Number,7264,205
University Heights,Latino,2008,Number,15402,205
University Heights,White,2008,Number,0,205
East Tremont,Asian,2008,Number,118.49461,206
East Tremont,Black,2008,Number,3746.37048,206
East Tremont,Latino,2008,Number,9892.76754,206
East Tremont,White,2008,Number,28.60215,206
Bedford Park,Asian,2008,Number,528,207
Bedford Park,Black,2008,Number,2891,207
Bedford Park,Latino,2008,Number,11294,207
Bedford Park,White,2008,Number,191,207
Riverdale,Asian,2008,Number,57,208
Riverdale,Black,2008,Number,901,208
Riverdale,Latino,2008,Number,4351,208
Riverdale,White,2008,Number,525,208
Unionport/Soundview,Asian,2008,Number,574,209
Unionport/Soundview,Black,2008,Number,3235,209
Unionport/Soundview,Latino,2008,Number,10260,209
Unionport/Soundview,White,2008,Number,63,209
Throgs Neck,Asian,2008,Number,253,210
Throgs Neck,Black,2008,Number,341,210
Throgs Neck,Latino,2008,Number,1537,210
Throgs Neck,White,2008,Number,1242,210
Pelham Parkway,Asian,2008,Number,1046,211
Pelham Parkway,Black,2008,Number,1893,211
Pelham Parkway,Latino,2008,Number,4383,211
Pelham Parkway,White,2008,Number,860,211
Williamsbridge,Asian,2008,Number,304,212
Williamsbridge,Black,2008,Number,4075,212
Williamsbridge,Latino,2008,Number,4116,212
Williamsbridge,White,2008,Number,29,212
Williamsburg/Greenpoint,Asian,2008,Number,518,301
Williamsburg/Greenpoint,Black,2008,Number,1033,301
Williamsburg/Greenpoint,Latino,2008,Number,3789,301
Williamsburg/Greenpoint,White,2008,Number,12741,301
Fort Greene/Brooklyn Hts,Asian,2008,Number,322,302
Fort Greene/Brooklyn Hts,Black,2008,Number,2673,302
Fort Greene/Brooklyn Hts,Latino,2008,Number,3030,302
Fort Greene/Brooklyn Hts,White,2008,Number,801,302
Bedford Stuyvesant,Asian,2008,Number,666,303
Bedford Stuyvesant,Black,2008,Number,9642,303
Bedford Stuyvesant,Latino,2008,Number,5062,303
Bedford Stuyvesant,White,2008,Number,4881,303
Bushwick,Asian,2008,Number,401,304
Bushwick,Black,2008,Number,3264,304
Bushwick,Latino,2008,Number,11186,304
Bushwick,White,2008,Number,164,304
East New York,Asian,2008,Number,909,305
East New York,Black,2008,Number,7987,305
East New York,Latino,2008,Number,7324,305
East New York,White,2008,Number,238,305
Park Slope,Asian,2008,Number,111,306
Park Slope,Black,2008,Number,1307,306
Park Slope,Latino,2008,Number,2033,306
Park Slope,White,2008,Number,515,306
Sunset Park,Asian,2008,Number,3931,307
Sunset Park,Black,2008,Number,172,307
Sunset Park,Latino,2008,Number,7110,307
Sunset Park,White,2008,Number,860,307
Crown Heights North,Asian,2008,Number,0,308
Crown Heights North,Black,2008,Number,8093,308
Crown Heights North,Latino,2008,Number,2124,308
Crown Heights North,White,2008,Number,1338,308
Crown Heights South,Asian,2008,Number,0,309
Crown Heights South,Black,2008,Number,5563,309
Crown Heights South,Latino,2008,Number,461,309
Crown Heights South,White,2008,Number,1421,309
Bay Ridge,Asian,2008,Number,1192,310
Bay Ridge,Black,2008,Number,175,310
Bay Ridge,Latino,2008,Number,756,310
Bay Ridge,White,2008,Number,1802,310
Bensonhurst,Asian,2008,Number,2825,311
Bensonhurst,Black,2008,Number,0,311
Bensonhurst,Latino,2008,Number,1474,311
Bensonhurst,White,2008,Number,3274,311
Borough Park,Asian,2008,Number,2044,312
Borough Park,Black,2008,Number,123,312
Borough Park,Latino,2008,Number,2012,312
Borough Park,White,2008,Number,17040,312
Coney Island,Asian,2008,Number,630,313
Coney Island,Black,2008,Number,600,313
Coney Island,Latino,2008,Number,1478,313
Coney Island,White,2008,Number,1400,313
Flatbush/Midwood,Asian,2008,Number,884,314
Flatbush/Midwood,Black,2008,Number,3346,314
Flatbush/Midwood,Latino,2008,Number,2286,314
Flatbush/Midwood,White,2008,Number,2891,314
Sheepshead Bay,Asian,2008,Number,812,315
Sheepshead Bay,Black,2008,Number,797,315
Sheepshead Bay,Latino,2008,Number,1338,315
Sheepshead Bay,White,2008,Number,2242,315
Brownsville,Asian,2008,Number,0,316
Brownsville,Black,2008,Number,10525,316
Brownsville,Latino,2008,Number,6774,316
Brownsville,White,2008,Number,277,316
East Flatbush,Asian,2008,Number,0,317
East Flatbush,Black,2008,Number,6108,317
East Flatbush,Latino,2008,Number,677,317
East Flatbush,White,2008,Number,29,317
Canarsie,Asian,2008,Number,231,318
Canarsie,Black,2008,Number,3741,318
Canarsie,Latino,2008,Number,836,318
Canarsie,White,2008,Number,1451,318
Astoria,Asian,2008,Number,1435,401
Astoria,Black,2008,Number,1012,401
Astoria,Latino,2008,Number,2884,401
Astoria,White,2008,Number,2440,401
Sunnyside/Woodside,Asian,2008,Number,1919,402
Sunnyside/Woodside,Black,2008,Number,177,402
Sunnyside/Woodside,Latino,2008,Number,2020,402
Sunnyside/Woodside,White,2008,Number,356,402
Jackson Heights,Asian,2008,Number,2278,403
Jackson Heights,Black,2008,Number,742,403
Jackson Heights,Latino,2008,Number,5142,403
Jackson Heights,White,2008,Number,157,403
Elmhurst/Corona,Asian,2008,Number,2823,404
Elmhurst/Corona,Black,2008,Number,0,404
Elmhurst/Corona,Latino,2008,Number,4024,404
Elmhurst/Corona,White,2008,Number,354,404
Ridgewood/Glendale,Asian,2008,Number,519,405
Ridgewood/Glendale,Black,2008,Number,0,405
Ridgewood/Glendale,Latino,2008,Number,4158,405
Ridgewood/Glendale,White,2008,Number,2049,405
Rego Park/Forest Hills,Asian,2008,Number,159,406
Rego Park/Forest Hills,Black,2008,Number,0,406
Rego Park/Forest Hills,Latino,2008,Number,64,406
Rego Park/Forest Hills,White,2008,Number,1020,406
Flushing,Asian,2008,Number,3984,407
Flushing,Black,2008,Number,146,407
Flushing,Latino,2008,Number,1610,407
Flushing,White,2008,Number,1289,407
Fresh Meadows/Briarwood,Asian,2008,Number,1092,408
Fresh Meadows/Briarwood,Black,2008,Number,696,408
Fresh Meadows/Briarwood,Latino,2008,Number,973,408
Fresh Meadows/Briarwood,White,2008,Number,781,408
Woodhaven,Asian,2008,Number,1562,409
Woodhaven,Black,2008,Number,333,409
Woodhaven,Latino,2008,Number,2801,409
Woodhaven,White,2008,Number,1160,409
Howard Beach,Asian,2008,Number,1232,410
Howard Beach,Black,2008,Number,649,410
Howard Beach,Latino,2008,Number,2009,410
Howard Beach,White,2008,Number,1295,410
Bayside,Asian,2008,Number,1330,411
Bayside,Black,2008,Number,170,411
Bayside,Latino,2008,Number,242,411
Bayside,White,2008,Number,412,411
Jamaica/St. Albans,Asian,2008,Number,966,412
Jamaica/St. Albans,Black,2008,Number,6045,412
Jamaica/St. Albans,Latino,2008,Number,2554,412
Jamaica/St. Albans,White,2008,Number,98,412
Queens Village,Asian,2008,Number,897,413
Queens Village,Black,2008,Number,1326,413
Queens Village,Latino,2008,Number,639,413
Queens Village,White,2008,Number,510,413
The Rockaways,Asian,2008,Number,0,414
The Rockaways,Black,2008,Number,3759,414
The Rockaways,Latino,2008,Number,2579,414
The Rockaways,White,2008,Number,987,414
St. George,Asian,2008,Number,193,501
St. George,Black,2008,Number,4179,501
St. George,Latino,2008,Number,3539,501
St. George,White,2008,Number,1597,501
South Beach,Asian,2008,Number,207,502
South Beach,Black,2008,Number,216,502
South Beach,Latino,2008,Number,572,502
South Beach,White,2008,Number,1815,502
Tottenville,Asian,2008,Number,0,503
Tottenville,Black,2008,Number,0,503
Tottenville,Latino,2008,Number,104,503
Tottenville,White,2008,Number,1098,503
Bronx,Asian,2008,Number,3880,36005
Bronx,Black,2008,Number,39990,36005
Bronx,Latino,2008,Number,103568,36005
Bronx,White,2008,Number,3641,36005
Brooklyn,Asian,2008,Number,15476,36047
Brooklyn,Black,2008,Number,65149,36047
Brooklyn,Latino,2008,Number,59750,36047
Brooklyn,White,2008,Number,53365,36047
Manhattan,Asian,2008,Number,7745,36061
Manhattan,Black,2008,Number,17199,36061
Manhattan,Latino,2008,Number,35518,36061
Manhattan,White,2008,Number,4647,36061
Queens,Asian,2008,Number,20196,36081
Queens,Black,2008,Number,15055,36081
Queens,Latino,2008,Number,31699,36081
Queens,White,2008,Number,12908,36081
Staten Island,Asian,2008,Number,400,36085
Staten Island,Black,2008,Number,4395,36085
Staten Island,Latino,2008,Number,4215,36085
Staten Island,White,2008,Number,4510,36085
New York City,Asian,2008,Number,47697,3651000
New York City,Black,2008,Number,141788,3651000
New York City,Latino,2008,Number,234750,3651000
New York City,White,2008,Number,79071,3651000
Battery Park/Tribeca,Asian,2008,Percent,0.30858,101
Battery Park/Tribeca,Black,2008,Percent,0,101
Battery Park/Tribeca,Latino,2008,Percent,0.21829,101
Battery Park/Tribeca,White,2008,Percent,0.03569,101
Greenwich Village,Asian,2008,Percent,0.30858,102
Greenwich Village,Black,2008,Percent,0,102
Greenwich Village,Latino,2008,Percent,0.21829,102
Greenwich Village,White,2008,Percent,0.03569,102
Lower East Side,Asian,2008,Percent,0.51651,103
Lower East Side,Black,2008,Percent,0.62443,103
Lower East Side,Latino,2008,Percent,0.40094,103
Lower East Side,White,2008,Percent,0.1592,103
Chelsea/Clinton,Asian,2008,Percent,0.1681,104
Chelsea/Clinton,Black,2008,Percent,0.3913,104
Chelsea/Clinton,Latino,2008,Percent,0.257,104
Chelsea/Clinton,White,2008,Percent,0.06596,104
Midtown Business District,Asian,2008,Percent,0.1681,105
Midtown Business District,Black,2008,Percent,0.3913,105
Midtown Business District,Latino,2008,Percent,0.257,105
Midtown Business District,White,2008,Percent,0.06596,105
Murray Hill/Stuyvesant,Asian,2008,Percent,0.16145,106
Murray Hill/Stuyvesant,Black,2008,Percent,0.07642,106
Murray Hill/Stuyvesant,Latino,2008,Percent,0.33864,106
Murray Hill/Stuyvesant,White,2008,Percent,0.05018,106
Upper West Side,Asian,2008,Percent,0.34182,107
Upper West Side,Black,2008,Percent,0.33251,107
Upper West Side,Latino,2008,Percent,0.24577,107
Upper West Side,White,2008,Percent,0.03674,107
Upper East Side,Asian,2008,Percent,0,108
Upper East Side,Black,2008,Percent,0.40264,108
Upper East Side,Latino,2008,Percent,0.03064,108
Upper East Side,White,2008,Percent,0.01915,108
Manhattanville,Asian,2008,Percent,0.61787,109
Manhattanville,Black,2008,Percent,0.2354,109
Manhattanville,Latino,2008,Percent,0.46845,109
Manhattanville,White,2008,Percent,0,109
Central Harlem,Asian,2008,Percent,0.41383,110
Central Harlem,Black,2008,Percent,0.39165,110
Central Harlem,Latino,2008,Percent,0.45128,110
Central Harlem,White,2008,Percent,0.0372,110
East Harlem,Asian,2008,Percent,0.17277,111
East Harlem,Black,2008,Percent,0.35274,111
East Harlem,Latino,2008,Percent,0.37178,111
East Harlem,White,2008,Percent,0.31041,111
Washington Heights,Asian,2008,Percent,0,112
Washington Heights,Black,2008,Percent,0.32129,112
Washington Heights,Latino,2008,Percent,0.38645,112
Washington Heights,White,2008,Percent,0.06964,112
Mott Haven,Asian,2008,Percent,0.68293,201
Mott Haven,Black,2008,Percent,0.52511,201
Mott Haven,Latino,2008,Percent,0.53114,201
Mott Haven,White,2008,Percent,0.48866,201
Hunts Point,Asian,2008,Percent,0.68293,202
Hunts Point,Black,2008,Percent,0.52511,202
Hunts Point,Latino,2008,Percent,0.53114,202
Hunts Point,White,2008,Percent,0.48866,202
Morrisania,Asian,2008,Percent,0.6026,203
Morrisania,Black,2008,Percent,0.4246,203
Morrisania,Latino,2008,Percent,0.57368,203
Morrisania,White,2008,Percent,0.10467,203
Concourse/Highbridge,Asian,2008,Percent,0.66921,204
Concourse/Highbridge,Black,2008,Percent,0.48891,204
Concourse/Highbridge,Latino,2008,Percent,0.53444,204
Concourse/Highbridge,White,2008,Percent,0.76573,204
University Heights,Asian,2008,Percent,0.37767,205
University Heights,Black,2008,Percent,0.55349,205
University Heights,Latino,2008,Percent,0.52034,205
University Heights,White,2008,Percent,0,205
East Tremont,Asian,2008,Percent,0.6026,206
East Tremont,Black,2008,Percent,0.4246,206
East Tremont,Latino,2008,Percent,0.57368,206
East Tremont,White,2008,Percent,0.10467,206
Bedford Park,Asian,2008,Percent,0.40275,207
Bedford Park,Black,2008,Percent,0.42223,207
Bedford Park,Latino,2008,Percent,0.46592,207
Bedford Park,White,2008,Percent,0.17539,207
Riverdale,Asian,2008,Percent,0.05158,208
Riverdale,Black,2008,Percent,0.34455,208
Riverdale,Latino,2008,Percent,0.34993,208
Riverdale,White,2008,Percent,0.06314,208
Unionport/Soundview,Asian,2008,Percent,0.22905,209
Unionport/Soundview,Black,2008,Percent,0.22188,209
Unionport/Soundview,Latino,2008,Percent,0.35948,209
Unionport/Soundview,White,2008,Percent,0.08583,209
Throgs Neck,Asian,2008,Percent,0.19704,210
Throgs Neck,Black,2008,Percent,0.06162,210
Throgs Neck,Latino,2008,Percent,0.17887,210
Throgs Neck,White,2008,Percent,0.15251,210
Pelham Parkway,Asian,2008,Percent,0.33796,211
Pelham Parkway,Black,2008,Percent,0.26647,211
Pelham Parkway,Latino,2008,Percent,0.27737,211
Pelham Parkway,White,2008,Percent,0.13478,211
Williamsbridge,Asian,2008,Percent,0.42757,212
Williamsbridge,Black,2008,Percent,0.15611,212
Williamsbridge,Latino,2008,Percent,0.42194,212
Williamsbridge,White,2008,Percent,0.01818,212
Williamsburg/Greenpoint,Asian,2008,Percent,0.31721,301
Williamsburg/Greenpoint,Black,2008,Percent,0.52947,301
Williamsburg/Greenpoint,Latino,2008,Percent,0.49304,301
Williamsburg/Greenpoint,White,2008,Percent,0.47138,301
Fort Greene/Brooklyn Hts,Asian,2008,Percent,0.38656,302
Fort Greene/Brooklyn Hts,Black,2008,Percent,0.31844,302
Fort Greene/Brooklyn Hts,Latino,2008,Percent,0.59752,302
Fort Greene/Brooklyn Hts,White,2008,Percent,0.14065,302
Bedford Stuyvesant,Asian,2008,Percent,0.87747,303
Bedford Stuyvesant,Black,2008,Percent,0.38229,303
Bedford Stuyvesant,Latino,2008,Percent,0.61306,303
Bedford Stuyvesant,White,2008,Percent,0.60423,303
Bushwick,Asian,2008,Percent,0.52418,304
Bushwick,Black,2008,Percent,0.45888,304
Bushwick,Latino,2008,Percent,0.40432,304
Bushwick,White,2008,Percent,0.3054,304
East New York,Asian,2008,Percent,0.34109,305
East New York,Black,2008,Percent,0.32967,305
East New York,Latino,2008,Percent,0.38825,305
East New York,White,2008,Percent,0.24511,305
Park Slope,Asian,2008,Percent,0.08144,306
Park Slope,Black,2008,Percent,0.57024,306
Park Slope,Latino,2008,Percent,0.32285,306
Park Slope,White,2008,Percent,0.0441,306
Sunset Park,Asian,2008,Percent,0.38706,307
Sunset Park,Black,2008,Percent,0.15398,307
Sunset Park,Latino,2008,Percent,0.35319,307
Sunset Park,White,2008,Percent,0.14599,307
Crown Heights North,Asian,2008,Percent,0,308
Crown Heights North,Black,2008,Percent,0.35861,308
Crown Heights North,Latino,2008,Percent,0.51767,308
Crown Heights North,White,2008,Percent,0.34476,308
Crown Heights South,Asian,2008,Percent,0,309
Crown Heights South,Black,2008,Percent,0.30015,309
Crown Heights South,Latino,2008,Percent,0.20371,309
Crown Heights South,White,2008,Percent,0.29089,309
Bay Ridge,Asian,2008,Percent,0.20872,310
Bay Ridge,Black,2008,Percent,0.45812,310
Bay Ridge,Latino,2008,Percent,0.17818,310
Bay Ridge,White,2008,Percent,0.1463,310
Bensonhurst,Asian,2008,Percent,0.17986,311
Bensonhurst,Black,2008,Percent,0,311
Bensonhurst,Latino,2008,Percent,0.28834,311
Bensonhurst,White,2008,Percent,0.20404,311
Borough Park,Asian,2008,Percent,0.36454,312
Borough Park,Black,2008,Percent,0.11101,312
Borough Park,Latino,2008,Percent,0.34624,312
Borough Park,White,2008,Percent,0.35174,312
Coney Island,Asian,2008,Percent,0.26012,313
Coney Island,Black,2008,Percent,0.22396,313
Coney Island,Latino,2008,Percent,0.33798,313
Coney Island,White,2008,Percent,0.1728,313
Flatbush/Midwood,Asian,2008,Percent,0.27984,314
Flatbush/Midwood,Black,2008,Percent,0.23648,314
Flatbush/Midwood,Latino,2008,Percent,0.36194,314
Flatbush/Midwood,White,2008,Percent,0.1605,314
Sheepshead Bay,Asian,2008,Percent,0.17714,315
Sheepshead Bay,Black,2008,Percent,0.41019,315
Sheepshead Bay,Latino,2008,Percent,0.37936,315
Sheepshead Bay,White,2008,Percent,0.11357,315
Brownsville,Asian,2008,Percent,0,316
Brownsville,Black,2008,Percent,0.39895,316
Brownsville,Latino,2008,Percent,0.63079,316
Brownsville,White,2008,Percent,0.83183,316
East Flatbush,Asian,2008,Percent,0,317
East Flatbush,Black,2008,Percent,0.20737,317
East Flatbush,Latino,2008,Percent,0.19657,317
East Flatbush,White,2008,Percent,0.35366,317
Canarsie,Asian,2008,Percent,0.21589,318
Canarsie,Black,2008,Percent,0.11508,318
Canarsie,Latino,2008,Percent,0.21675,318
Canarsie,White,2008,Percent,0.11537,318
Astoria,Asian,2008,Percent,0.29238,401
Astoria,Black,2008,Percent,0.40757,401
Astoria,Latino,2008,Percent,0.24447,401
Astoria,White,2008,Percent,0.21805,401
Sunnyside/Woodside,Asian,2008,Percent,0.17573,402
Sunnyside/Woodside,Black,2008,Percent,0.673,402
Sunnyside/Woodside,Latino,2008,Percent,0.20621,402
Sunnyside/Woodside,White,2008,Percent,0.10304,402
Jackson Heights,Asian,2008,Percent,0.3354,403
Jackson Heights,Black,2008,Percent,0.36588,403
Jackson Heights,Latino,2008,Percent,0.1916,403
Jackson Heights,White,2008,Percent,0.0621,403
Elmhurst/Corona,Asian,2008,Percent,0.28663,404
Elmhurst/Corona,Black,2008,Percent,0,404
Elmhurst/Corona,Latino,2008,Percent,0.24005,404
Elmhurst/Corona,White,2008,Percent,0.27962,404
Ridgewood/Glendale,Asian,2008,Percent,0.19424,405
Ridgewood/Glendale,Black,2008,Percent,0,405
Ridgewood/Glendale,Latino,2008,Percent,0.22351,405
Ridgewood/Glendale,White,2008,Percent,0.11377,405
Rego Park/Forest Hills,Asian,2008,Percent,0.02999,406
Rego Park/Forest Hills,Black,2008,Percent,0,406
Rego Park/Forest Hills,Latino,2008,Percent,0.02464,406
Rego Park/Forest Hills,White,2008,Percent,0.08882,406
Flushing,Asian,2008,Percent,0.19715,407
Flushing,Black,2008,Percent,0.14147,407
Flushing,Latino,2008,Percent,0.18512,407
Flushing,White,2008,Percent,0.08662,407
Fresh Meadows/Briarwood,Asian,2008,Percent,0.11016,408
Fresh Meadows/Briarwood,Black,2008,Percent,0.19529,408
Fresh Meadows/Briarwood,Latino,2008,Percent,0.18758,408
Fresh Meadows/Briarwood,White,2008,Percent,0.06559,408
Woodhaven,Asian,2008,Percent,0.1937,409
Woodhaven,Black,2008,Percent,0.12118,409
Woodhaven,Latino,2008,Percent,0.17144,409
Woodhaven,White,2008,Percent,0.18632,409
Howard Beach,Asian,2008,Percent,0.19286,410
Howard Beach,Black,2008,Percent,0.11679,410
Howard Beach,Latino,2008,Percent,0.2054,410
