"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Coney Island,Other,2017,Percent,0.171,313
Flatbush/Midwood,Married Couples,2017,Percent,0.163,314
Flatbush/Midwood,Single Mothers,2017,Percent,0.463,314
Flatbush/Midwood,Single Fathers,2017,Percent,0.123,314
Flatbush/Midwood,Grandparents,2017,Percent,0.162,314
Flatbush/Midwood,Other,2017,Percent,0.16,314
Sheepshead Bay,Married Couples,2017,Percent,0.151,315
Sheepshead Bay,Single Mothers,2017,Percent,0.274,315
Sheepshead Bay,Single Fathers,2017,Percent,0.573,315
Sheepshead Bay,Grandparents,2017,Percent,0.184,315
Sheepshead Bay,Other,2017,Percent,0.097,315
Brownsville,Married Couples,2017,Percent,0.244,316
Brownsville,Single Mothers,2017,Percent,0.522,316
Brownsville,Single Fathers,2017,Percent,0.605,316
Brownsville,Grandparents,2017,Percent,0.153,316
Brownsville,Other,2017,Percent,0.14,316
East Flatbush,Married Couples,2017,Percent,0.108,317
East Flatbush,Single Mothers,2017,Percent,0.334,317
East Flatbush,Single Fathers,2017,Percent,0.136,317
East Flatbush,Grandparents,2017,Percent,0.099,317
East Flatbush,Other,2017,Percent,0.195,317
Canarsie,Married Couples,2017,Percent,0.054,318
Canarsie,Single Mothers,2017,Percent,0.318,318
Canarsie,Single Fathers,2017,Percent,0.217,318
Canarsie,Grandparents,2017,Percent,0.103,318
Canarsie,Other,2017,Percent,0.073,318
Astoria,Married Couples,2017,Percent,0.129,401
Astoria,Single Mothers,2017,Percent,0.341,401
Astoria,Single Fathers,2017,Percent,0.097,401
Astoria,Grandparents,2017,Percent,0.306,401
Astoria,Other,2017,Percent,0.265,401
Sunnyside/Woodside,Married Couples,2017,Percent,0.124,402
Sunnyside/Woodside,Single Mothers,2017,Percent,0.278,402
Sunnyside/Woodside,Single Fathers,2017,Percent,0.092,402
Sunnyside/Woodside,Grandparents,2017,Percent,0.239,402
Sunnyside/Woodside,Other,2017,Percent,0.339,402
Jackson Heights,Married Couples,2017,Percent,0.148,403
Jackson Heights,Single Mothers,2017,Percent,0.507,403
Jackson Heights,Single Fathers,2017,Percent,0.361,403
Jackson Heights,Grandparents,2017,Percent,0.241,403
Jackson Heights,Other,2017,Percent,0.182,403
Elmhurst/Corona,Married Couples,2017,Percent,0.173,404
Elmhurst/Corona,Single Mothers,2017,Percent,0.392,404
Elmhurst/Corona,Single Fathers,2017,Percent,0.271,404
Elmhurst/Corona,Grandparents,2017,Percent,0.223,404
Elmhurst/Corona,Other,2017,Percent,0.142,404
Ridgewood/Glendale,Married Couples,2017,Percent,0.065,405
Ridgewood/Glendale,Single Mothers,2017,Percent,0.313,405
Ridgewood/Glendale,Single Fathers,2017,Percent,0.187,405
Ridgewood/Glendale,Grandparents,2017,Percent,0.101,405
Ridgewood/Glendale,Other,2017,Percent,0.086,405
Rego Park/Forest Hills,Married Couples,2017,Percent,0.115,406
Rego Park/Forest Hills,Single Mothers,2017,Percent,0.249,406
Rego Park/Forest Hills,Single Fathers,2017,Percent,0.025,406
Rego Park/Forest Hills,Grandparents,2017,Percent,0,406
Rego Park/Forest Hills,Other,2017,Percent,0.19,406
Flushing,Married Couples,2017,Percent,0.109,407
Flushing,Single Mothers,2017,Percent,0.204,407
Flushing,Single Fathers,2017,Percent,0.19,407
Flushing,Grandparents,2017,Percent,0.333,407
Flushing,Other,2017,Percent,0.43,407
Fresh Meadows/Briarwood,Married Couples,2017,Percent,0.131,408
Fresh Meadows/Briarwood,Single Mothers,2017,Percent,0.263,408
Fresh Meadows/Briarwood,Single Fathers,2017,Percent,0.081,408
Fresh Meadows/Briarwood,Grandparents,2017,Percent,0.087,408
Fresh Meadows/Briarwood,Other,2017,Percent,0.273,408
Woodhaven,Married Couples,2017,Percent,0.127,409
Woodhaven,Single Mothers,2017,Percent,0.412,409
Woodhaven,Single Fathers,2017,Percent,0.178,409
Woodhaven,Grandparents,2017,Percent,0.081,409
Woodhaven,Other,2017,Percent,0.255,409
Howard Beach,Married Couples,2017,Percent,0.14,410
Howard Beach,Single Mothers,2017,Percent,0.313,410
Howard Beach,Single Fathers,2017,Percent,0.127,410
Howard Beach,Grandparents,2017,Percent,0.103,410
Howard Beach,Other,2017,Percent,0.298,410
Bayside,Married Couples,2017,Percent,0.076,411
Bayside,Single Mothers,2017,Percent,0.236,411
Bayside,Single Fathers,2017,Percent,0.053,411
Bayside,Grandparents,2017,Percent,0.188,411
Bayside,Other,2017,Percent,0.035,411
Jamaica/St. Albans,Married Couples,2017,Percent,0.086,412
Jamaica/St. Albans,Single Mothers,2017,Percent,0.32,412
Jamaica/St. Albans,Single Fathers,2017,Percent,0.264,412
Jamaica/St. Albans,Grandparents,2017,Percent,0.072,412
Jamaica/St. Albans,Other,2017,Percent,0.143,412
Queens Village,Married Couples,2017,Percent,0.051,413
Queens Village,Single Mothers,2017,Percent,0.251,413
Queens Village,Single Fathers,2017,Percent,0.319,413
Queens Village,Grandparents,2017,Percent,0.099,413
Queens Village,Other,2017,Percent,0.136,413
The Rockaways,Married Couples,2017,Percent,0.074,414
The Rockaways,Single Mothers,2017,Percent,0.533,414
The Rockaways,Single Fathers,2017,Percent,0.244,414
The Rockaways,Grandparents,2017,Percent,0.34,414
The Rockaways,Other,2017,Percent,0.179,414
St. George,Married Couples,2017,Percent,0.17,501
St. George,Single Mothers,2017,Percent,0.615,501
St. George,Single Fathers,2017,Percent,0.145,501
St. George,Grandparents,2017,Percent,0.02,501
St. George,Other,2017,Percent,0.449,501
South Beach,Married Couples,2017,Percent,0.125,502
South Beach,Single Mothers,2017,Percent,0.358,502
South Beach,Single Fathers,2017,Percent,0,502
South Beach,Grandparents,2017,Percent,0.209,502
South Beach,Other,2017,Percent,0.666,502
Tottenville,Married Couples,2017,Percent,0.058,503
Tottenville,Single Mothers,2017,Percent,0.243,503
Tottenville,Single Fathers,2017,Percent,0,503
Tottenville,Grandparents,2017,Percent,0.069,503
Tottenville,Other,2017,Percent,0.543,503
Bronx,Married Couples,2017,Percent,0.253,36005
Bronx,Single Mothers,2017,Percent,0.599,36005
Bronx,Single Fathers,2017,Percent,0.32,36005
Bronx,Grandparents,2017,Percent,0.315,36005
Bronx,Other,2017,Percent,0.288,36005
Brooklyn,Married Couples,2017,Percent,0.227,36047
Brooklyn,Single Mothers,2017,Percent,0.437,36047
Brooklyn,Single Fathers,2017,Percent,0.32,36047
Brooklyn,Grandparents,2017,Percent,0.222,36047
Brooklyn,Other,2017,Percent,0.212,36047
Manhattan,Married Couples,2017,Percent,0.085,36061
Manhattan,Single Mothers,2017,Percent,0.522,36061
Manhattan,Single Fathers,2017,Percent,0.23,36061
Manhattan,Grandparents,2017,Percent,0.417,36061
Manhattan,Other,2017,Percent,0.298,36061
Queens,Married Couples,2017,Percent,0.109,36081
Queens,Single Mothers,2017,Percent,0.352,36081
Queens,Single Fathers,2017,Percent,0.221,36081
Queens,Grandparents,2017,Percent,0.159,36081
Queens,Other,2017,Percent,0.195,36081
Staten Island,Married Couples,2017,Percent,0.113,36085
Staten Island,Single Mothers,2017,Percent,0.487,36085
Staten Island,Single Fathers,2017,Percent,0.064,36085
Staten Island,Grandparents,2017,Percent,0.083,36085
Staten Island,Other,2017,Percent,0.55,36085
New York City,Married Couples,2017,Percent,0.168,3651000
New York City,Single Mothers,2017,Percent,0.489,3651000
New York City,Single Fathers,2017,Percent,0.273,3651000
New York City,Grandparents,2017,Percent,0.246,3651000
New York City,Other,2017,Percent,0.244,3651000
Battery Park/Tribeca,Married Couples,2018,Number,138.1146,101
Battery Park/Tribeca,Single Mothers,2018,Number,66.23039,101
Battery Park/Tribeca,Single Fathers,2018,Number,48.05742,101
Battery Park/Tribeca,Grandparents,2018,Number,0,101
Battery Park/Tribeca,Other,2018,Number,0,101
Greenwich Village,Married Couples,2018,Number,203.8854,102
Greenwich Village,Single Mothers,2018,Number,97.76961,102
Greenwich Village,Single Fathers,2018,Number,70.94258,102
Greenwich Village,Grandparents,2018,Number,0,102
Greenwich Village,Other,2018,Number,0,102
Lower East Side,Married Couples,2018,Number,1141,103
Lower East Side,Single Mothers,2018,Number,4383,103
Lower East Side,Single Fathers,2018,Number,285,103
Lower East Side,Grandparents,2018,Number,1291,103
Lower East Side,Other,2018,Number,353,103
Chelsea/Clinton,Married Couples,2018,Number,134.62277,104
Chelsea/Clinton,Single Mothers,2018,Number,592.47347,104
Chelsea/Clinton,Single Fathers,2018,Number,0,104
Chelsea/Clinton,Grandparents,2018,Number,277.90938,104
Chelsea/Clinton,Other,2018,Number,0,104
Midtown Business District,Married Couples,2018,Number,67.37723,105
Midtown Business District,Single Mothers,2018,Number,296.52653,105
Midtown Business District,Single Fathers,2018,Number,0,105
Midtown Business District,Grandparents,2018,Number,139.09062,105
Midtown Business District,Other,2018,Number,0,105
Murray Hill/Stuyvesant,Married Couples,2018,Number,495,106
Murray Hill/Stuyvesant,Single Mothers,2018,Number,0,106
Murray Hill/Stuyvesant,Single Fathers,2018,Number,0,106
Murray Hill/Stuyvesant,Grandparents,2018,Number,41,106
Murray Hill/Stuyvesant,Other,2018,Number,0,106
Upper West Side,Married Couples,2018,Number,374,107
Upper West Side,Single Mothers,2018,Number,1723,107
Upper West Side,Single Fathers,2018,Number,0,107
Upper West Side,Grandparents,2018,Number,0,107
Upper West Side,Other,2018,Number,0,107
Upper East Side,Married Couples,2018,Number,258,108
Upper East Side,Single Mothers,2018,Number,925,108
Upper East Side,Single Fathers,2018,Number,73,108
Upper East Side,Grandparents,2018,Number,0,108
Upper East Side,Other,2018,Number,0,108
Manhattanville,Married Couples,2018,Number,995,109
Manhattanville,Single Mothers,2018,Number,2843,109
Manhattanville,Single Fathers,2018,Number,499,109
Manhattanville,Grandparents,2018,Number,1035,109
Manhattanville,Other,2018,Number,477,109
Central Harlem,Married Couples,2018,Number,1455,110
Central Harlem,Single Mothers,2018,Number,7682,110
Central Harlem,Single Fathers,2018,Number,537,110
Central Harlem,Grandparents,2018,Number,1590,110
Central Harlem,Other,2018,Number,119,110
East Harlem,Married Couples,2018,Number,1561,111
East Harlem,Single Mothers,2018,Number,8007,111
East Harlem,Single Fathers,2018,Number,224,111
East Harlem,Grandparents,2018,Number,1242,111
East Harlem,Other,2018,Number,584,111
Washington Heights,Married Couples,2018,Number,3580,112
Washington Heights,Single Mothers,2018,Number,4174,112
Washington Heights,Single Fathers,2018,Number,349,112
Washington Heights,Grandparents,2018,Number,1938,112
Washington Heights,Other,2018,Number,1095,112
Mott Haven,Married Couples,2018,Number,2964.3289,201
Mott Haven,Single Mothers,2018,Number,8436.59335,201
Mott Haven,Single Fathers,2018,Number,549.96353,201
Mott Haven,Grandparents,2018,Number,1475.48087,201
Mott Haven,Other,2018,Number,685.54482,201
Hunts Point,Married Couples,2018,Number,1692.6711,202
Hunts Point,Single Mothers,2018,Number,4817.40665,202
Hunts Point,Single Fathers,2018,Number,314.03647,202
Hunts Point,Grandparents,2018,Number,842.51913,202
Hunts Point,Other,2018,Number,391.45518,202
Morrisania,Married Couples,2018,Number,1648.76366,203
Morrisania,Single Mothers,2018,Number,7461.02251,203
Morrisania,Single Fathers,2018,Number,662.9302,203
Morrisania,Grandparents,2018,Number,818.02162,203
Morrisania,Other,2018,Number,121.8226,203
Concourse/Highbridge,Married Couples,2018,Number,4350,204
Concourse/Highbridge,Single Mothers,2018,Number,12095,204
Concourse/Highbridge,Single Fathers,2018,Number,463,204
Concourse/Highbridge,Grandparents,2018,Number,818,204
Concourse/Highbridge,Other,2018,Number,556,204
University Heights,Married Couples,2018,Number,4371,205
University Heights,Single Mothers,2018,Number,13064,205
University Heights,Single Fathers,2018,Number,271,205
University Heights,Grandparents,2018,Number,1657,205
University Heights,Other,2018,Number,408,205
East Tremont,Married Couples,2018,Number,1721.23634,206
East Tremont,Single Mothers,2018,Number,7788.97749,206
East Tremont,Single Fathers,2018,Number,692.0698,206
East Tremont,Grandparents,2018,Number,853.97838,206
East Tremont,Other,2018,Number,127.1774,206
Bedford Park,Married Couples,2018,Number,4696,207
Bedford Park,Single Mothers,2018,Number,8147,207
Bedford Park,Single Fathers,2018,Number,790,207
Bedford Park,Grandparents,2018,Number,2157,207
Bedford Park,Other,2018,Number,659,207
Riverdale,Married Couples,2018,Number,1885,208
Riverdale,Single Mothers,2018,Number,3940,208
Riverdale,Single Fathers,2018,Number,568,208
Riverdale,Grandparents,2018,Number,302,208
Riverdale,Other,2018,Number,346,208
Unionport/Soundview,Married Couples,2018,Number,3231,209
Unionport/Soundview,Single Mothers,2018,Number,9509,209
Unionport/Soundview,Single Fathers,2018,Number,1067,209
Unionport/Soundview,Grandparents,2018,Number,1678,209
Unionport/Soundview,Other,2018,Number,427,209
Throgs Neck,Married Couples,2018,Number,524,210
Throgs Neck,Single Mothers,2018,Number,2400,210
Throgs Neck,Single Fathers,2018,Number,681,210
Throgs Neck,Grandparents,2018,Number,183,210
Throgs Neck,Other,2018,Number,273,210
Pelham Parkway,Married Couples,2018,Number,1558,211
Pelham Parkway,Single Mothers,2018,Number,3255,211
Pelham Parkway,Single Fathers,2018,Number,468,211
Pelham Parkway,Grandparents,2018,Number,721,211
Pelham Parkway,Other,2018,Number,44,211
Williamsbridge,Married Couples,2018,Number,1006,212
Williamsbridge,Single Mothers,2018,Number,5664,212
Williamsbridge,Single Fathers,2018,Number,279,212
Williamsbridge,Grandparents,2018,Number,1394,212
Williamsbridge,Other,2018,Number,213,212
Williamsburg/Greenpoint,Married Couples,2018,Number,9313,301
Williamsburg/Greenpoint,Single Mothers,2018,Number,2149,301
Williamsburg/Greenpoint,Single Fathers,2018,Number,110,301
Williamsburg/Greenpoint,Grandparents,2018,Number,35,301
Williamsburg/Greenpoint,Other,2018,Number,189,301
Fort Greene/Brooklyn Hts,Married Couples,2018,Number,1305,302
Fort Greene/Brooklyn Hts,Single Mothers,2018,Number,2392,302
Fort Greene/Brooklyn Hts,Single Fathers,2018,Number,320,302
Fort Greene/Brooklyn Hts,Grandparents,2018,Number,264,302
Fort Greene/Brooklyn Hts,Other,2018,Number,347,302
Bedford Stuyvesant,Married Couples,2018,Number,6842,303
Bedford Stuyvesant,Single Mothers,2018,Number,4702,303
Bedford Stuyvesant,Single Fathers,2018,Number,1019,303
Bedford Stuyvesant,Grandparents,2018,Number,706,303
Bedford Stuyvesant,Other,2018,Number,295,303
Bushwick,Married Couples,2018,Number,2424,304
Bushwick,Single Mothers,2018,Number,6227,304
Bushwick,Single Fathers,2018,Number,154,304
Bushwick,Grandparents,2018,Number,2223,304
Bushwick,Other,2018,Number,270,304
East New York,Married Couples,2018,Number,3102,305
East New York,Single Mothers,2018,Number,8251,305
East New York,Single Fathers,2018,Number,343,305
East New York,Grandparents,2018,Number,1263,305
East New York,Other,2018,Number,406,305
Park Slope,Married Couples,2018,Number,431,306
Park Slope,Single Mothers,2018,Number,1306,306
Park Slope,Single Fathers,2018,Number,126,306
Park Slope,Grandparents,2018,Number,414,306
Park Slope,Other,2018,Number,141,306
Sunset Park,Married Couples,2018,Number,6052,307
Sunset Park,Single Mothers,2018,Number,1948,307
Sunset Park,Single Fathers,2018,Number,243,307
Sunset Park,Grandparents,2018,Number,1277,307
Sunset Park,Other,2018,Number,561,307
Crown Heights North,Married Couples,2018,Number,1284,308
Crown Heights North,Single Mothers,2018,Number,4243,308
Crown Heights North,Single Fathers,2018,Number,1139,308
Crown Heights North,Grandparents,2018,Number,295,308
Crown Heights North,Other,2018,Number,297,308
Crown Heights South,Married Couples,2018,Number,2625,309
Crown Heights South,Single Mothers,2018,Number,2108,309
Crown Heights South,Single Fathers,2018,Number,346,309
Crown Heights South,Grandparents,2018,Number,342,309
Crown Heights South,Other,2018,Number,327,309
Bay Ridge,Married Couples,2018,Number,3169,310
Bay Ridge,Single Mothers,2018,Number,863,310
Bay Ridge,Single Fathers,2018,Number,214,310
Bay Ridge,Grandparents,2018,Number,200,310
Bay Ridge,Other,2018,Number,407,310
Bensonhurst,Married Couples,2018,Number,5313,311
Bensonhurst,Single Mothers,2018,Number,2004,311
Bensonhurst,Single Fathers,2018,Number,1086,311
Bensonhurst,Grandparents,2018,Number,328,311
Bensonhurst,Other,2018,Number,367,311
Borough Park,Married Couples,2018,Number,18109,312
Borough Park,Single Mothers,2018,Number,1390,312
Borough Park,Single Fathers,2018,Number,535,312
Borough Park,Grandparents,2018,Number,772,312
Borough Park,Other,2018,Number,543,312
Coney Island,Married Couples,2018,Number,3364,313
Coney Island,Single Mothers,2018,Number,3045,313
Coney Island,Single Fathers,2018,Number,285,313
Coney Island,Grandparents,2018,Number,899,313
Coney Island,Other,2018,Number,171,313
Flatbush/Midwood,Married Couples,2018,Number,4239,314
Flatbush/Midwood,Single Mothers,2018,Number,2388,314
Flatbush/Midwood,Single Fathers,2018,Number,239,314
Flatbush/Midwood,Grandparents,2018,Number,290,314
Flatbush/Midwood,Other,2018,Number,224,314
Sheepshead Bay,Married Couples,2018,Number,4335,315
Sheepshead Bay,Single Mothers,2018,Number,892,315
Sheepshead Bay,Single Fathers,2018,Number,737,315
Sheepshead Bay,Grandparents,2018,Number,380,315
Sheepshead Bay,Other,2018,Number,128,315
Brownsville,Married Couples,2018,Number,1712,316
Brownsville,Single Mothers,2018,Number,4230,316
Brownsville,Single Fathers,2018,Number,1574,316
Brownsville,Grandparents,2018,Number,520,316
Brownsville,Other,2018,Number,301,316
East Flatbush,Married Couples,2018,Number,732,317
East Flatbush,Single Mothers,2018,Number,3336,317
East Flatbush,Single Fathers,2018,Number,241,317
East Flatbush,Grandparents,2018,Number,424,317
East Flatbush,Other,2018,Number,321,317
Canarsie,Married Couples,2018,Number,1075,318
Canarsie,Single Mothers,2018,Number,3558,318
Canarsie,Single Fathers,2018,Number,878,318
Canarsie,Grandparents,2018,Number,187,318
Canarsie,Other,2018,Number,195,318
Astoria,Married Couples,2018,Number,1954,401
Astoria,Single Mothers,2018,Number,1616,401
Astoria,Single Fathers,2018,Number,57,401
Astoria,Grandparents,2018,Number,392,401
Astoria,Other,2018,Number,235,401
Sunnyside/Woodside,Married Couples,2018,Number,1283,402
Sunnyside/Woodside,Single Mothers,2018,Number,469,402
Sunnyside/Woodside,Single Fathers,2018,Number,138,402
Sunnyside/Woodside,Grandparents,2018,Number,0,402
Sunnyside/Woodside,Other,2018,Number,199,402
Jackson Heights,Married Couples,2018,Number,3381,403
Jackson Heights,Single Mothers,2018,Number,2848,403
Jackson Heights,Single Fathers,2018,Number,981,403
Jackson Heights,Grandparents,2018,Number,594,403
Jackson Heights,Other,2018,Number,479,403
Elmhurst/Corona,Married Couples,2018,Number,3322,404
Elmhurst/Corona,Single Mothers,2018,Number,1902,404
Elmhurst/Corona,Single Fathers,2018,Number,127,404
Elmhurst/Corona,Grandparents,2018,Number,426,404
Elmhurst/Corona,Other,2018,Number,981,404
Ridgewood/Glendale,Married Couples,2018,Number,1654,405
Ridgewood/Glendale,Single Mothers,2018,Number,1525,405
